,Player_ID,Year,Month,Date,Player Name,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,team_key,USG_RATIO,TS,original_player_pos,player_pos_C,player_pos_C-F,player_pos_F,player_pos_F-C,player_pos_F-G,player_pos_G,player_pos_G-F,Fantasy_Point
20,2544,2021,10,2021-10-01,LeBron James,37.4,44,101,0.43,3.0,45,0.31,16,21,0.75,0.6,5.2,5.8,6.4,2.4,1.0,4.2,2.2,23.8,7,LAL,0.26,0.47,F,False,False,True,False,False,False,False,51.46
21,2544,2021,11,2021-11-01,LeBron James,36.5,62,118,0.54,2.83,48,0.38,24,32,0.71,0.33,4.33,4.67,7.17,1.33,0.5,3.33,2.33,27.5,-7,LAL,0.25,0.57,F,False,False,True,False,False,False,False,50.513999999999996
22,2544,2021,12,2021-12-01,LeBron James,36.71,161,290,0.55,3.0,104,0.39,66,84,0.8,1.36,7.93,9.29,6.5,1.64,1.43,3.21,2.14,30.71,40,LAL,0.27,0.57,F,False,False,True,False,False,False,False,62.213
23,2544,2022,1,2022-01-01,LeBron James,36.09,126,244,0.52,2.36,87,0.32,55,75,0.79,1.36,6.73,8.09,5.55,1.45,1.09,2.27,2.27,30.27,-45,LAL,0.29,0.52,F,False,False,True,False,False,False,False,57.148
24,2544,2022,2,2022-02-01,LeBron James,37.43,79,156,0.51,2.43,51,0.33,23,31,0.78,1.14,8.14,9.29,6.43,1.29,0.43,4.71,2.14,28.29,-48,LAL,0.3,0.53,F,False,False,True,False,False,False,False,54.318
25,2544,2022,3,2022-03-01,LeBron James,38.83,155,289,0.53,3.42,105,0.36,61,81,0.73,1.33,7.83,9.17,6.08,0.33,1.33,3.83,1.92,34.33,-62,LAL,0.3,0.54,F,False,False,True,False,False,False,False,60.939
26,2544,2022,4,2022-04-01,LeBron James,40.0,13,23,0.56,3.0,8,0.38,9,12,0.75,0.0,8.0,8.0,4.0,1.0,0.0,6.0,3.0,38.0,-2,LAL,0.27,0.54,F,False,False,True,False,False,False,False,56.6
27,2544,2022,10,2022-10-01,LeBron James,36.17,59,132,0.45,2.0,46,0.26,25,32,0.76,2.17,6.67,8.83,7.33,1.5,0.67,4.17,2.0,25.83,-30,LAL,0.33,0.46,F,False,False,True,False,False,False,False,53.846000000000004
28,2544,2022,11,2022-11-01,LeBron James,34.62,80,165,0.49,2.75,59,0.32,24,36,0.57,1.0,7.5,8.5,5.5,0.88,0.75,3.12,1.88,25.75,-17,LAL,0.32,0.5,F,False,False,True,False,False,False,False,50.28
29,2544,2022,12,2022-12-01,LeBron James,36.43,174,322,0.54,1.79,86,0.28,64,82,0.71,1.0,6.64,7.64,7.0,0.93,0.5,2.86,1.71,31.21,67,LAL,0.34,0.53,F,False,False,True,False,False,False,False,55.528
30,2544,2023,1,2023-01-01,LeBron James,38.0,163,324,0.5,2.38,99,0.26,82,105,0.79,1.08,8.31,9.38,8.23,0.85,0.54,3.0,1.15,33.77,93,LAL,0.36,0.5,F,False,False,True,False,False,False,False,62.421
31,2544,2023,2,2023-02-01,LeBron James,33.17,56,118,0.48,1.67,35,0.29,29,40,0.73,1.33,6.33,7.67,5.5,0.67,0.33,3.0,2.17,25.17,35,LAL,0.32,0.47,F,False,False,True,False,False,False,False,45.794000000000004
32,2544,2023,3,2023-03-01,LeBron James,31.0,23,49,0.48,0.67,8,0.22,14,16,0.88,1.67,7.0,8.67,4.33,1.0,0.67,4.0,1.67,20.67,30,LAL,0.31,0.47,F,False,False,True,False,False,False,False,41.249
33,2544,2023,4,2023-04-01,LeBron James,32.8,54,109,0.49,3.8,44,0.42,13,16,0.82,0.6,6.4,7.0,7.2,0.6,0.8,3.8,0.8,28.0,37,LAL,0.35,0.54,F,False,False,True,False,False,False,False,53.3
34,2544,2023,10,2023-10-01,LeBron James,34.0,35,66,0.53,1.75,23,0.29,11,19,0.46,0.5,8.0,8.5,6.5,1.5,0.75,4.5,1.0,22.0,29,LAL,0.29,0.51,F,False,False,True,False,False,False,False,48.2
